id;name;species;room;watering_interval_days;light_needs;acquired_at;notes;image_url;created_at;updated_at;user_id;parent_id;tags;water_snooze_until
b0c928ad-4ef0-40da-b192-8e473cf92f24;Vit-lila Orkidé;Orkidé Phalaenopsis;Kök;14;;2026-05-07;Köpt på Bea. Hade lite ovanligt små blad men väldigt fina blommor!;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/0ec57318-1768-4635-9aed-7ac4d6647d6d.jpg;2026-06-01 21:17:12.837584+00;2026-06-01 21:20:44.170148+00;;;[];
fdf82823-5508-41ac-8841-3300c9a0ccc3;Orkidé propageringar;Orkidé Phalaenopsis;Kök;14;;2026-06-01;Vit-lila orkidé hade rotröta så testade att propagera blomstängerna.;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/d3b7b64f-bbdf-4b16-a283-0a430330c20a.jpg;2026-06-01 21:22:43.44971+00;2026-06-01 21:22:43.44971+00;;;[];
1bb2413b-7a30-49eb-af15-917541060c80;Vit-rosa orkidé;Orkidé phalaenopsis;Kök;14;;2026-05-09;Fick av Sim❤️;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/3263cf38-aa34-4e3a-b492-f60d32a235e1.jpg;2026-06-01 21:24:42.380879+00;2026-06-01 21:24:42.380879+00;;;[];
7a054203-798f-4863-9448-0e7ea0877108;Bella;Orkidé Phalaenopsis Mini;Kök;14;Morgonsol;2025-10-02;Vet ej exakt när den dök upp som keiki.;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/77fba01a-1002-43ff-85eb-3ec09248e6a7.jpeg;2026-06-02 07:11:32.435039+00;2026-06-04 11:19:17.252187+00;6712a310-fee2-4123-9d0b-ff088305935f;f1b07214-c06f-4171-a69e-dbf252315ee8;"[""orkidé"",""kök""]";
04e45e95-08ed-41f3-9bb9-a28bdc4eb6a7;Minna;Orkidé Phalaenopsis Mini (vit);Kök;14;Morgonsol;2025-10-10;Svårt att säga exakt när hon dök upp på moderplantan.;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/27f4134e-dab5-44ba-9691-18252aa4bbec.jpeg;2026-06-02 08:28:43.654947+00;2026-06-02 08:28:43.654947+00;6712a310-fee2-4123-9d0b-ff088305935f;0fd4faf3-2a49-4eb8-a414-4fd5621c2fa3;[];
acc33e32-19d2-44fd-a4e3-eedd23c1505a;Ester;Orkidé Phalaenopsis (vitrosa);Kök;14;Indirekt;2026-05-16;Fick av Sim❤️;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/4fffbd27-b959-444b-8bd3-f615603dc208.jpeg;2026-06-02 08:42:20.26286+00;2026-06-02 08:42:20.26286+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
32c4651e-0d2b-4999-b22b-8cfc7218a2c6;Sticklingar;Orkidé Phalaenopsis (vit och lilarosa);Köksfönster;;Indirekt;2026-06-01;Provar att ta 7 sticklingar från blomstjälken. Behandlade med en blandning av risvatten, kokat kanel- och vitlöksvatten samt lite Aloe Vera. Kanel och stearin i ändarna och sen ner i ett ’terrarium’ med perlit och vatten.;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/c20d60a1-b3e9-46ba-9104-2be8e47ce314.jpeg;2026-06-02 09:38:54.602359+00;2026-06-02 09:57:22.549684+00;6712a310-fee2-4123-9d0b-ff088305935f;c3600f7b-c20e-451a-9e80-cbf2ec7fc548;[];
19e4d5a9-9da5-4b4e-ad2c-4b9be42f880e;Elin;Hedera Helix (murgröna);Kök;20;Skugga;2025-09-25;Köpt på ICA Liljeholmen;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/4fdddfb7-8fec-4b2e-85ad-5ab672bc4972.jpeg;2026-06-02 10:08:32.54979+00;2026-06-03 08:54:17.873871+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
c3600f7b-c20e-451a-9e80-cbf2ec7fc548;Lovisa;Orkidé Phalaenopsis (vit och lilarosa);Kök;14;Morgonsol;2026-05-16;Köpt på ICA Bea;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/81b99ec4-b244-4812-88c6-6ec77937693a.jpeg;2026-06-02 08:54:30.60152+00;2026-06-02 10:34:09.742482+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
c0846e97-4237-4b81-8412-cccb1d37163c;Margareta;Orkidé Phalaenopsis (mörkrosa);Kök;14;Morgonsol;2026-05-16;Köpt på ICA Bea;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/3e242088-2f5a-4316-9019-5f504af5602e.jpeg;2026-06-02 08:51:07.001044+00;2026-06-02 10:34:54.27441+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
19903418-cd1e-4dae-bd38-401dd5524736;Monstera-Sticklingar;Monstera Borsogiani;Kök;;Morgonsol;2026-05-26;Propagerade 4 toppblad och ställde i vatten.;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/fb531000-354a-4924-afab-5cb4d6319c6c.jpeg;2026-06-02 11:24:22.472113+00;2026-06-02 11:24:22.472113+00;6712a310-fee2-4123-9d0b-ff088305935f;c972f68d-de96-4e3f-9f29-09515d1de731;[];
dac2efe5-8f46-4a88-b31b-ebb538045362;Alma;Spathiphyllum Wallisii (fredskalla);Badrummet;;Indirekt;2024-10-12;Fick av Sim❤️;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/a3c2c18a-2390-4acc-a61a-1ebf9e230840.jpeg;2026-06-02 21:22:09.213204+00;2026-06-02 21:22:09.213204+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
